Class,Course,Title,Section,Type,Days,Time,Room,Location,Instructor (*) Additional Instructor,Status
14553,AAS 100LEC,Intro African American Studies,A,LEC,T R, 11:00 AM - 12:20 PM,Talbrt 106,North Campus, * Ponzo,Open
16591,AAS 117SEM,Hip Hop And Social Issues,MOP,SEM,T R, 2:00 PM - 3:20 PM,Cfa 144,North Campus, Ogunbowale,Closed
20668,AAS 128SEM,Public Policies&social Justice,JPO,SEM,T R, 12:30 PM - 1:50 PM,Talbrt 106,North Campus, * Ponzo,Open
20837,AAS 199SEM,"Ub Seminar-The American Image:Art, Media",NEZ,SEM,M W F, 11:00 AM - 11:50 AM,Talbrt 111,North Campus, Zarragoitia,Open w/ Reserves
17511,AAS 199SEM,Ub Seminar-The African American Artist,ZAR,SEM,M W F, 9:00 AM - 9:50 AM,Talbrt 111,North Campus, Zarragoitia,Open w/ Reserves
17985,AAS 254LEC,Race In Films,LUL,LEC,M, 2:00 PM - 4:40 PM,Remote,Remote, Lulat,Open
15023,AAS 261LEC,African American History,B,LEC,T R, 3:30 PM - 4:50 PM,Capen 109,North Campus, Ponzo,Open
23481,AAS 270LEC,Maj Issues Carib Studies,CEN,LEC,M W, 2:00 PM - 3:20 PM,Park 250,North Campus, Centrie,Open
17984,AAS 280LEC,Survey Of African Studies,GUI,LEC,M W F, 10:00 AM - 10:50 AM,Talbrt 106,North Campus, Fagbohunlu,Open
20673,AAS 293SEM,"Race, Law & Society",LUL,SEM,W, 2:00 PM - 4:40 PM,Remote,Remote, Lulat,Open
21548,AAS 314SEM,Black Philosophy,FOS,SEM,T R, 9:30 AM - 10:50 AM,Talbrt 106,North Campus, Foster,Open
17090,AAS 414SEM,Health Prob Black Commun,DPT,SEM,M W, 5:00 PM - 6:20 PM,Clemen 04,North Campus, Pierce-Tate,Open
21536,AAS 460SEM,Black Women In Us History,MOP,SEM,R, 4:10 PM - 6:50 PM,Clemen 1004,North Campus, Ogunbowale,Open
12597,AAS 499TUT,Independent Study,A,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
11118,AAS 499TUT,Independent Study,B,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
11921,AAS 499TUT,Independent Study,C,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
13868,AAS 499TUT,Independent Study,KGR,TUT,TBA, TBA,Clemen 1010,North Campus, Griffler,Open w/ Reserves
11923,AAS 499TUT,Independent Study,LUL,TUT,TBA, TBA,Clemen 1010,North Campus, Lulat,Open w/ Reserves
12865,AAS 499TUT,Independent Study,STA,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
11544,AAS 499TUT,Independent Study,STF,TUT,TBA, TBA,Clemen 1010,North Campus, Staff,Open w/ Reserves
16091,ASL 102LEC,First Year American Sign Langu,A,LEC,M W, 12:30 PM - 2:35 PM,Park 148,North Campus, Ackerman,Closed
16092,ASL 102LEC,First Year American Sign Langu,B,LEC,T R, 9:30 AM - 11:35 AM,Park 148,North Campus, Ackerman,Open
19758,ASL 102LEC,First Year American Sign Langu,C,LEC,T R, 12:30 PM - 2:35 PM,Park 148,North Campus, Ackerman,Open
16093,ASL 102LEC,First Year American Sign Langu,D,LEC,T R, 3:30 PM - 5:35 PM,Park 148,North Campus, Ackerman,Open
20675,ASL 102LEC,First Year American Sign Langu,E,LEC,M W, 9:30 AM - 11:35 AM,Bell 138,North Campus, Williams,Open
18773,ASL 102LEC,First Year American Sign Langu,F,LEC,M W, 12:30 PM - 2:35 PM,Bell 138,North Campus, Williams,Closed
16094,ASL 102LEC,First Year American Sign Langu,G,LEC,T R, 2:00 PM - 4:05 PM,Bell 138,North Campus, Williams,Closed
18774,ASL 102LEC,First Year American Sign Langu,H,LEC,M W, 11:00 AM - 1:05 PM,Park 152,North Campus, Brightman,Closed
19204,ASL 102LEC,First Year American Sign Langu,I,LEC,M W, 2:00 PM - 4:05 PM,Park 152,North Campus, Brightman,Closed
19205,ASL 102LEC,First Year American Sign Langu,J,LEC,T R, 9:30 AM - 11:35 AM,Park 152,North Campus, Brightman,Open
20674,ASL 102LEC,First Year American Sign Langu,K,LEC,M W, 5:00 PM - 7:05 PM,Park 148,North Campus, Dray,Open
21739,ASL 102LEC,First Year American Sign Langu,L,LEC,T R, 5:00 PM - 7:05 PM,Park 152,North Campus, Dray,Open
23325,ASL 102LEC,First Year American Sign Langu,M,LEC,T R, 8:00 PM - 10:05 PM,Park 152,North Campus, Dray,Open
23326,ASL 102LEC,First Year American Sign Langu,N,LEC,TBA, TBA,Remote,Remote, Byrne,Closed
23327,ASL 102LEC,First Year American Sign Langu,O,LEC,TBA, TBA,Remote,Remote, Byrne,Closed
16628,ASL 204LEC,Second Year American Sign Lang,A,LEC,T R, 12:30 PM - 1:50 PM,Bell 138,North Campus, Williams  * Brightman,Open
18775,ASL 211LEC,Introduction To Deaf Studies,A,LEC,TBA, TBA,Remote,Remote, Byrne,Open
20676,ASL 411LEC,Asl Linguistics,A,LEC,M W, 9:30 AM - 10:50 AM,Park 148,North Campus, Ackerman,Open
19724,AMS 107LEC,Intro American Studies,A,LEC,T R, 11:00 AM - 12:20 PM,Baldy 126,North Campus, Novak,Open
18941,AMS 111SEM,Hip Hop And Social Issues,MOP,SEM,T R, 2:00 PM - 3:20 PM,Cfa 144,North Campus, Ogunbowale,Open
20802,AMS 293SEM,"Race, Law & Society",LUL,SEM,W, 2:00 PM - 4:40 PM,Remote,Remote, Lulat,Open
20609,AMS 325SEM,Contemp Afro-Carib Religion,CEN,SEM,M W, 12:00 PM - 1:20 PM,Baldy 110,North Campus, Centrie,Open
23505,AMS 335LEC,Women Writers,SBF,LEC,T R, 2:00 PM - 3:20 PM,Talbrt 112,North Campus, Beckford-Foster,Open
11320,AMS 499TUT,Independent Study,A,TUT,TBA, TBA,ARR,Arranged, Beckford-Foster,Open w/ Reserves
11017,AMS 499TUT,Independent Study,B,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
10845,AMS 499TUT,Independent Study,C,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
12820,AMS 499TUT,Independent Study,CEN,TUT,TBA, TBA,ARR,Arranged, Centrie,Open w/ Reserves
10725,AMS 499TUT,Independent Study,D,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
13622,AMS 499TUT,Independent Study,E,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
10734,AMS 499TUT,Independent Study,F,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
12877,AMS 499TUT,Independent Study,G,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
12416,AMS 499TUT,Independent Study,GRI,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
11906,AMS 499TUT,Independent Study,MAC,TUT,TBA, TBA,ARR,Arranged, Mccarthy,Open w/ Reserves
11773,AMS 499TUT,Independent Study,STA,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
10830,AMS 499TUT,Independent Study,T,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
23545,APY 105LEC,Intro To Anthropology,A,LEC,M W F, 12:00 PM - 12:50 PM,Knox 104,North Campus, Ketonen Keating,Closed
16641,APY 106LEC,Intro:Cultural Anthropology,A,LEC,M W F, 10:00 AM - 10:50 AM,Academ 170,North Campus, Gil,Open
23802,APY 106LEC,Intro:Cultural Anthropology,B,LEC,TBA, TBA,Remote,Remote, Ketonen Keating,Closed
16598,APY 107LEC,Intro To Biological Anthro,LYC,LEC,T R, 3:30 PM - 4:50 PM,Academ 170,North Campus, Lycett,Open
16599,APY 108LEC,Intro To Archaeology,FUL,LEC,M W, 3:00 PM - 4:20 PM,Academ 170,North Campus, Fulton,Open
16674,APY 168LEC,Myth & Religion Anc World,WOO,LEC,T R, 12:30 PM - 1:50 PM,Knox 109,North Campus, Woodard,Open
21523,APY 215LEC,Historic Archeology,GON,LEC,T R, 9:30 AM - 10:50 AM,Clemen 06,North Campus, Gonzalez,Open
19527,APY 275LEC,"Culture, Health, And Illness",KLA,LEC,M W F, 9:00 AM - 9:50 AM,Nsc 205,North Campus, Klaits,Open
23235,APY 321SEM,Topics-Border Studies And Migration,GIL,SEM,M W F, 1:00 PM - 1:50 PM,Academ 351,North Campus, Gil,Open
23250,APY 341LEC,Primate Behavior & Ecology,POI,LEC,T R, 2:00 PM - 3:20 PM,Academ 328,North Campus, Poindexter,Open
18618,APY 345LEC,Compar Primate Anatomy,HOL,LEC,M, 5:00 PM - 7:40 PM,Academ 170,North Campus, Holowka,Closed
16615,APY 346LAB,Primate Dissections,A,LAB,T, 1:00 PM - 4:50 PM,Spaulding 155,North Campus, Staff,Closed
16616,APY 346LAB,Primate Dissections,B,LAB,W, 1:00 PM - 4:50 PM,Spaulding 155,North Campus, Staff,Closed
16617,APY 346LAB,Primate Dissections,C,LAB,R, 1:00 PM - 4:50 PM,Spaulding 155,North Campus, Staff,Closed
18728,APY 356SEM,Cultural Evolution,LYC,SEM,W, 4:30 PM - 7:10 PM,Academ 319,North Campus, Lycett,Open
23244,APY 369LEC,People Of Sub-Saharan Afr,KLA,LEC,M W F, 11:00 AM - 11:50 AM,Academ 319,North Campus, Klaits,Open
23234,APY 385LEC,Music And American Night Life,HAR,LEC,T R, 2:00 PM - 3:20 PM,Academ 351,North Campus, Harper,Open
23237,APY 401LEC,Theory In Anthropology,NEO,LEC,T R, 8:00 AM - 9:20 AM,Academ 355,North Campus, Neofotistos,Open
21488,APY 410SEM,Special Topics-Men And Masculinities,JOS,SEM,T R, 9:30 AM - 10:50 AM,Academ 351,North Campus, Joshi,Open
21511,APY 420SEM,Topics-Apy Death & Dying,BAC,SEM,T R, 11:00 AM - 12:20 PM,Academ 351,North Campus, Bacigalupo,Open
23232,APY 421SEM,Topics-Issues In Evol Anthro,VON,SEM,M, 12:00 PM - 2:40 PM,Baldy 107,North Campus, Von Cramon-Taubadel,Open
23233,APY 434SEM,Topics-Museum Ethnology,GON,SEM,T R, 3:30 PM - 4:50 PM,Academ 351,North Campus, Gonzalez,Open
21489,APY 444SEM,Behavioral Research Methods,POI,SEM,W, 12:00 PM - 2:40 PM,Clemen 202,North Campus, Poindexter,Open w/ Reserves
23236,APY 494SEM,Senior Seminar-Anthropology Of Immigration,DRD,SEM,M W, 3:00 PM - 4:20 PM,Academ 351,North Campus, Reed-Danahay,Open
16611,APY 495SEM,Supervised Teaching,HOL,SEM,TBA, TBA,Spaulding 155,North Campus, Holowka,Open
16794,APY 496TUT,Internship,STF,TUT,TBA, TBA,ARR,Arranged, Staff,Closed
13063,APY 499TUT,Ind Study & Research,BAC,TUT,TBA, TBA,ARR,Arranged, Bacigalupo,Open w/ Reserves
10817,APY 499TUT,Ind Study & Research,CHE,TUT,TBA, TBA,ARR,Arranged, Chevral,Open w/ Reserves
14890,APY 499TUT,Ind Study & Research,FRN,TUT,TBA, TBA,ARR,Arranged, Franquesa,Open w/ Reserves
24147,APY 499TUT,Ind Study & Research,GIL,TUT,TBA, TBA,ARR,Arranged, Gil,Open w/ Reserves
24148,APY 499TUT,Ind Study & Research,GON,TUT,TBA, TBA,ARR,Arranged, Gonzalez,Open w/ Reserves
20412,APY 499TUT,Ind Study & Research,HOL,TUT,TBA, TBA,ARR,Arranged, Holowka,Open w/ Reserves
19404,APY 499TUT,Ind Study & Research,JOS,TUT,TBA, TBA,ARR,Arranged, Joshi,Open w/ Reserves
15914,APY 499TUT,Ind Study & Research,KLA,TUT,TBA, TBA,ARR,Arranged, Klaits,Open w/ Reserves
16625,APY 499TUT,Ind Study & Research,LYC,TUT,TBA, TBA,ARR,Arranged, Lycett,Open w/ Reserves
11624,APY 499TUT,Ind Study & Research,NEO,TUT,TBA, TBA,ARR,Arranged, Neofotistos,Open w/ Reserves
11566,APY 499TUT,Ind Study & Research,PER,TUT,TBA, TBA,ARR,Arranged, Perrelli,Open w/ Reserves
20413,APY 499TUT,Ind Study & Research,POI,TUT,TBA, TBA,ARR,Arranged, Poindexter,Open w/ Reserves
11444,APY 499TUT,Ind Study & Research,RDA,TUT,TBA, TBA,ARR,Arranged, Reed-Danahay,Open w/ Reserves
11062,APY 499TUT,Ind Study & Research,SIR,TUT,TBA, TBA,Remote,Remote, Sirianni,Open w/ Reserves
16624,APY 499TUT,Ind Study & Research,VON,TUT,TBA, TBA,Remote,Remote, Von Cramon-Taubadel,Open w/ Reserves
14525,ARI 102LEC,1st Yr-2nd Sem Arabic,A,LEC,M W F, 9:30 AM - 10:55 AM,Baldy 112,North Campus, Ziadna,Open
18769,ARI 102LEC,1st Yr-2nd Sem Arabic,B,LEC,M W F, 11:05 AM - 12:30 PM,Baldy 112,North Campus, Ziadna,Open
18770,ARI 102LEC,1st Yr-2nd Sem Arabic,C,LEC,M W F, 2:00 PM - 3:25 PM,Baldy 106,North Campus, Ziadna,Open
13285,ARI 499TUT,Arabic Independent Study,000,TUT,TBA, TBA,ARR,Arranged, Ziadna,Open w/ Reserves
14756,ARC 102LAB,Arch Design Studio 2,0001,LAB,M W F, 9:00 AM - 12:20 PM,ARR,South Campus, Cramer  * Spielman  * Hoover,Open w/ Reserves
17122,ARC 122LAB,Architecturl Sketchng & Envirn,LAB,LAB,T, 6:00 PM - 8:40 PM,Talbrt 107,North Campus, Lewis,Open
14778,ARC 202LAB,Arch Design Studio 4,1,LAB,M W F, 9:00 AM - 12:20 PM,Hayesb 01,South Campus, Delaney,Open
13519,ARC 211LEC,American Diversity & Design,001,LEC,TBA, TBA,Remote,Remote, Tauke,Open
<<<>>>,ARC 234LR,Arch History: 1450 - Present,000,LEC,T R, 9:00 AM - 10:20 AM,Hayes 403,South Campus, Huet  * Eichelberger,Open
13721,ARC 234LR,Arch History: 1450 - Present,R1,REC,W, 3:00 PM - 3:50 PM,Hayes 217,South Campus, Eichelberger  * Huet,Closed
13688,ARC 234LR,Arch History: 1450 - Present,R2,REC,W, 12:40 PM - 1:30 PM,Hayes 217,South Campus, Huet  * Eichelberger,Closed
13690,ARC 234LR,Arch History: 1450 - Present,R3,REC,W, 1:50 PM - 2:40 PM,Hayes 217,South Campus, Huet  * Eichelberger,Closed
23656,ARC 234LR,Arch History: 1450 - Present,R4,REC,W, 4:00 PM - 4:50 PM,Hayes 217,South Campus, Huet  * Eichelberger,Open w/ Reserves
17347,ARC 300LEC,Environment & Landscapes,E300,LEC,M, 6:30 PM - 9:10 PM,Cooke 121,North Campus, Gregg,Open w/ Reserves
14774,ARC 302LAB,Arch Design Studio 6,1,LAB,M W F, 9:00 AM - 12:20 PM,Hayesc 05,South Campus, Mackay,Open
20640,ARC 312LAB,Architecture Media 4,000,LAB,R, 2:00 PM - 3:40 PM,Hayes 403,South Campus, Delaney,Open
19942,ARC 316LEC,Design Of Cities-Experiencing The City,E312,LEC,T R, 3:30 PM - 4:50 PM,Hayes 401,South Campus, Hata,Open w/ Reserves
18934,ARC 320LEC,Built Environmnt In Mass Media,E319,LEC,TBA, TBA,Remote,Remote, Steinfeld,Open w/ Reserves
23635,ARC 333LEC,"Architecture Topics-Pub-Prv Prtnr, Nonprft, Ctznsp",E333,LEC,M, 2:00 PM - 4:50 PM,ARR,South Campus, Nelischer,Open
18215,ARC 352LAB,Structures 1 Lab,MAJ1,LAB,T, 12:00 PM - 1:20 PM,ARR,South Campus, Hoover,Closed
22102,ARC 352LAB,Structures 1 Lab,MAJ2,LAB,R, 12:00 PM - 1:20 PM,ARR,South Campus, Hoover,Open w/ Reserves
23843,ARC 352LAB,Structures 1 Lab,MAJ3,LAB,T, 2:00 PM - 3:20 PM,ARR,South Campus, Hoover,Open w/ Reserves
22103,ARC 352LAB,Structures 1 Lab,MIN1,LAB,R, 9:00 AM - 10:20 AM,ARR,South Campus, Fernando,Open w/ Reserves
17955,ARC 352LEC,Structures 1,000,LEC,TBA, TBA,Remote,Remote, Romano,Open
14768,ARC 404LAB,Architecture Design Practicum,LAB1,LAB,T, 9:00 AM - 12:20 PM,Hayesc 05,South Campus, Wales,Closed
16850,ARC 404LAB,Architecture Design Practicum,LAB2,LAB,W, 9:00 AM - 12:20 PM,Hayes 217,South Campus, Kickert,Closed
18898,ARC 404LAB,Architecture Design Practicum,LAB3,LAB,R, 9:00 AM - 12:20 PM,ARR,South Campus, Carter,Open w/ Reserves
22165,ARC 404SEM,Architecture Proseminar,SEM1,SEM,M, 9:00 AM - 11:40 AM,Hayes 217,South Campus, Smith,Closed
18261,ARC 404SEM,Architecture Proseminar,SEM2,SEM,M, 6:00 PM - 8:40 PM,Hayes 327,South Campus, Brice,Open w/ Reserves
19898,ARC 404SEM,Architecture Proseminar,SEM3,SEM,W, 2:00 PM - 4:40 PM,Hayes 401,South Campus, Spielman,Closed
20641,ARC 412LAB,Architecture Media 6,000,LAB,M, 1:00 PM - 2:40 PM,Hayes 403,South Campus, Wightman,Open
22200,ARC 436DIS,Citizen Planning School,A636,DIS,T, 6:10 PM - 8:50 PM,ARR,South Campus, Shibley  * Figuereo,Open w/ Reserves
<<<>>>,ARC 442LLB,Construction Tech,LAB,LAB,R, 11:30 AM - 1:20 PM,Hayesc 05,South Campus, Lecuyer  * Fernando,Open
13338,ARC 442LLB,Construction Tech,LEC,LEC,T, 11:30 AM - 1:20 PM,Hayes 403,South Campus, Lecuyer  * Fernando,Open w/ Reserves
<<<>>>,ARC 475LLB,Environmental Systems 3,A575,LEC,T, 1:30 PM - 2:50 PM,ARR,South Campus, Bohm,Closed
23650,ARC 475LLB,Environmental Systems 3,LAB1,LAB,R, 2:00 PM - 4:20 PM,Hayes 106,South Campus, Bohm,Open
23653,ARC 475LLB,Environmental Systems 3,LAB2,LAB,W, 9:00 AM - 11:20 AM,ARR,South Campus, Bohm,Open
13378,ARC 482LEC,Professional Practice,A582,LEC,T, 3:30 PM - 6:10 PM,Hayes 403,South Campus, Mackay,Open w/ Reserves
22429,ARC 486LEC,Arch Special Topics Lectr,A640,LEC,T, 6:30 PM - 9:10 PM,ARR,South Campus, Chao,Open w/ Reserves
24018,ARC 489SEM,Special Topics-Being Private In Public,A589,SEM,T, 9:00 AM - 11:50 AM,Remote,Remote, Steinfeld,Open
20936,ARC 498DIS,Arch Research + Creative Activ-Architecture Portfolio,000,DIS,, Multiple meeting patterns.,See class detail,, Chow,Open w/ Reserves
20937,ARC 498DIS,Arch Research + Creative Activ-Architecture Portfolio,001,DIS,, Multiple meeting patterns.,See class detail,, Song,Closed
11989,ARC 499TUT,Independent Study In Arch-Undergraduate Student Projects,LEC,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
17860,ARC 499TUT,Independent Study In Arch-Undergraduate Student Projects,SMI,TUT,TBA, TBA,ARR,Arranged, Staff,Open w/ Reserves
17693,AED 101LR,College Physics,PHY1,REC,M, 5:00 PM - 5:50 PM,Frnczk 219,North Campus, Staff,Open w/ Reserves
17695,AED 101LR,College Physics,PHY2,REC,T, 7:00 PM - 7:50 PM,Frnczk 219,North Campus, Staff,Open w/ Reserves
17696,AED 101LR,College Physics,PHY3,REC,R, 6:00 PM - 6:50 PM,Frnczk 219,North Campus, Staff,Open w/ Reserves
19284,AED 101LR,College Physics,PHY4,REC,T, 5:00 PM - 5:50 PM,Frnczk 219,North Campus, Staff,Open w/ Reserves
<<<>>>,AED 101LR,College Physics,PHYS,LEC,T R, 9:30 AM - 10:50 AM,Nsc 215,North Campus, Harrer,Open
18749,ART 100LEC,What Are You Looking At?,SOS,LEC,T R, 12:30 PM - 1:50 PM,Academ 322,North Campus, O'leary Soudant,Open
14574,ART 105LAB,2d Concepts,A,LAB,M W, 9:00 AM - 11:30 AM,CFA 210,North Campus, Pereira,Closed
14440,ART 105LAB,2d Concepts,B,LAB,T R, 12:30 PM - 3:00 PM,CFA 210,North Campus, Polanco,Open w/ Reserves
21701,ART 105LAB,2d Concepts,C,LAB,M W, 12:30 PM - 3:00 PM,CFA 210,North Campus, Staff,Closed
18164,ART 111LAB,Drawing Fundamentals,A,LAB,T R, 9:00 AM - 11:30 AM,CFA 208,North Campus, Koegel,Closed
18165,ART 111LAB,Drawing Fundamentals,B,LAB,M W, 9:00 AM - 11:30 AM,CFA 208,North Campus, Lazik,Closed
20650,ART 111LAB,Drawing Fundamentals,C,LAB,T R, 12:30 PM - 3:00 PM,CFA 218,North Campus, Freeman,Closed
18161,ART 120LAB,3d Concepts,A,LAB,M W, 3:15 PM - 5:45 PM,CFA B23,North Campus, Miracle,Closed
18163,ART 120LAB,3d Concepts,B,LAB,T R, 12:30 PM - 3:00 PM,CFA B23,North Campus, Goldfarb,Closed
21698,ART 120LAB,3d Concepts,C,LAB,M W, 12:30 PM - 3:00 PM,CFA B23,North Campus, Udondian,Open
19661,ART 207LAB,Drawing Concepts,A,LAB,T R, 9:00 AM - 11:30 AM,CFA 218,North Campus, Goergen,Closed
14466,ART 220LAB,Time Based Concepts,A,LAB,T R, 3:15 PM - 5:45 PM,CFA 146,North Campus, Staff,Closed
14414,ART 220LAB,Time Based Concepts,B,LAB,M W, 3:15 PM - 5:45 PM,CFA 146,North Campus, Bolt,Closed
23471,ART 226LEC,"Machines, Codes And Cultures",A,LEC,T R, 9:30 AM - 11:20 AM,,Remote, Bohlen,Open
17380,ART 231LAB,Painting Non Major 1,A,LAB,T R, 9:00 AM - 11:30 AM,CFA 203,North Campus, Honisett,Closed
21704,ART 259LAB,Intro To Screen Print,A,LAB,T R, 9:00 AM - 11:30 AM,CFA B37,North Campus, Breuer,Closed
13267,ART 301LAB,Basic Painting,A,LAB,T R, 12:30 PM - 3:00 PM,CFA 203,North Campus, Kegler,Closed
19663,ART 301LAB,Basic Painting,B,LAB,M W, 12:30 PM - 3:00 PM,CFA 203,North Campus, Carlson,Open
16908,ART 302LAB,Relief And Letterpress,A,LAB,M W, 12:30 PM - 3:00 PM,CFA B37,North Campus, Sherven,Open
14459,ART 303LAB,Introduction To Digital Art,A,LAB,T R, 12:30 PM - 3:00 PM,CFA 136,North Campus, Bello,Closed
14431,ART 303LAB,Introduction To Digital Art,B,LAB,M W, 6:00 PM - 8:30 PM,CFA 146,North Campus, Staff,Closed
23789,ART 305LAB,Intaglio & Collagraph,A,LAB,T R, 12:30 PM - 3:00 PM,CFA B37,North Campus, Breuer,Open
13886,ART 307LAB,Thematic Drawing 1,A,LAB,M W, 12:30 PM - 3:00 PM,CFA 218,North Campus, Chen,Open
18754,ART 308LAB,Drawing Ii:Material & Mark,A,LAB,M W, 9:00 AM - 11:30 AM,CFA 218,North Campus, Soda,Open w/ Reserves
14645,ART 310LAB,Painting & Popular Culture,A,LAB,M W, 12:00 PM - 3:00 PM,CFA 220,North Campus, Hughes,Open
14013,ART 311LAB,Altern Pnting Strategies,A,LAB,M W, 3:15 PM - 5:45 PM,CFA 220,North Campus, Hughes,Closed
13970,ART 312LAB,Self-Initiated Painting,A,LAB,M W, 3:15 PM - 5:45 PM,CFA 220,North Campus, Hughes,Open
14544,ART 313LAB,Intro To Photography,A,LAB,M W, 12:30 PM - 3:00 PM,CFA 117,North Campus, George,Closed
18248,ART 313LAB,Intro To Photography,B,LAB,M W, 3:15 PM - 5:45 PM,CFA 117,North Campus, Cassetti,Open
15824,ART 313LAB,Intro To Photography,C,LAB,T R, 12:30 PM - 3:00 PM,CFA 117,North Campus, Browning,Closed
23771,ART 315LAB,B&w Film Photo,A,LAB,M W, 12:30 PM - 3:00 PM,CFA 118,North Campus, Snyder,Closed
23470,ART 316LAB,Introduction To Graphic Design,A,LAB,M W, 12:30 PM - 3:00 PM,CFA 136,North Campus, Gaynor,Open
23982,ART 316LAB,Introduction To Graphic Design,B,LAB,T R, 9:00 AM - 11:30 AM,CFA 136,North Campus, Staff,Closed
13318,ART 317LAB,"Sculp Methods, Spatial Inquiry",A,LAB,M W, 12:30 PM - 3:00 PM,CFA B14,North Campus, Staff,Open
23892,ART 318LAB,Figure Drawing 2,A,LAB,M W, 12:30 PM - 3:00 PM,CFA 208,North Campus, Linder,Open
13335,ART 320LAB,Web Design,A,LAB,M W, 12:30 PM - 3:00 PM,CFA 146,North Campus, Licata,Open
21705,ART 321LAB,Typographic Form,A,LAB,M W, 3:15 PM - 5:45 PM,CFA 136,North Campus, Myers-Chunco,Closed
18912,ART 322LAB,Typographic Systems,A,LAB,M W, 9:00 AM - 11:30 AM,CFA 136,North Campus, Myers-Chunco,Closed
21234,ART 329LAB,Intermediate Sculpture 1,RR,LAB,T R, 3:15 PM - 5:45 PM,CFA B14,North Campus, Reitzenstein,Closed
21539,ART 330LAB,Intermediate Sculpture 2,A,LAB,T R, 3:15 PM - 5:45 PM,CFA B14,North Campus, Reitzenstein,Open
21540,ART 331LLB,Art And Life,PV,LEC,T, 12:30 PM - 1:50 PM,Obrian 209,North Campus, Vanouse,Open
21541,ART 331LLB,Art And Life,PV1,LAB,R, 12:30 PM - 1:50 PM,Hoch 359,North Campus, Tufts,Open
21542,ART 331LLB,Art And Life,PV2,LAB,R, 12:30 PM - 1:50 PM,CFA 208,North Campus, Robers,Open
21543,ART 331LLB,Art And Life,PV3,LAB,R, 2:00 PM - 3:20 PM,Hoch 359,North Campus, Tufts,Open
21544,ART 331LLB,Art And Life,PV4,LAB,R, 2:00 PM - 3:20 PM,CFA 208,North Campus, Robers,Open
16596,ART 333LAB,3d Precision Prod Concpts,A,LAB,, Multiple meeting patterns.,See class detail,, Siano,Open
18752,ART 341LAB,Artist's Books,A,LAB,T R, 9:00 AM - 11:30 AM,CFA B38,North Campus, Staff,Open
21545,ART 354LAB,Studio Photography,A,LAB,T R, 9:00 AM - 11:30 AM,CFA 118,North Campus, Opera,Open
22078,ART 362LAB,"Image, Apparatus, Program",A,LAB,T R, 3:15 PM - 5:45 PM,CFA 118,North Campus, Opera,Open
21546,ART 381LAB,Motion Graphics,A,LAB,M W, 9:00 AM - 11:30 AM,CFA 146,North Campus, Gaynor,Open w/ Reserves
23773,ART 410LAB,Art & Design For Social Impact,A,LAB,T R, 12:30 PM - 3:00 PM,CFA 146,North Campus, Kenyon,Open
13456,ART 411LAB,Prof Practice In Pnting 1,A,LAB,M W, 3:15 PM - 5:45 PM,CFA 220,North Campus, Hughes,Open
13967,ART 412LAB,Prof Practice In Pnting 2,A,LAB,M W, 3:15 PM - 5:45 PM,CFA 220,North Campus, Hughes,Open
23862,ART 415LAB,Spec Top In Vis Studies-Soundscape,B,LAB,T R, 6:00 PM - 8:30 PM,,North Campus, Goldfarb,Open
22205,ART 415LAB,Spec Top In Vis Studies-Comp Media Ii,MB,LAB,T, 3:15 PM - 8:15 PM,CFA 136,North Campus, Bohlen,Open
19668,ART 419LAB,Identity Design,A,LAB,T R, 6:00 PM - 8:30 PM,CFA 146,North Campus, Myers-Chunco,Closed
21547,ART 422LAB,Entrepreneurship For Creators,A,LAB,T R, 9:00 AM - 11:30 AM,CFA 146,North Campus, O'leary Soudant,Closed
21235,ART 429LAB,Adv Sculp Studio Pract 1,RR,LAB,T R, 3:15 PM - 5:45 PM,CFA B14,North Campus, Reitzenstein,Open
21225,ART 430LAB,Adv Sculp Studio Pract 2,RR,LAB,T R, 3:15 PM - 5:45 PM,CFA B14,North Campus, Reitzenstein,Open
15976,ART 473LAB,Performative Action,A,LAB,M, 3:30 PM - 8:30 PM,CFA B13,North Campus, Chen,Open
13665,ART 494LAB,Senior Thesis,A,LAB,M W, 9:00 AM - 11:30 AM,CFA 213,North Campus, Udondian,Open w/ Reserves
22887,ART 496LAB,Internship,DL,LAB,TBA, TBA,ARR,North Campus, Licata,Open w/ Reserves
19987,ART 496LAB,Internship,RR,LAB,TBA, TBA,,North Campus, Reitzenstein,Open w/ Reserves
17738,ART 499TUT,Independent Study Studio,CS,TUT,TBA, TBA,,North Campus, Siano,Open w/ Reserves
